Encoder,kanan_x1,kanan_x2,kanan_theta_deg,kiri_x1,kiri_x2,kiri_theta_deg,theta_mean_deg
0,4.5,8,7.180755781,4.7,3.1,3.27582896,5.228292371
50,2.9,8.6,11.74588461,12,7.6,9.041096149,10.39349038
100,2.5,10.5,16.6015496,7.7,1.8,12.16421449,14.38288204
150,1.1,11.2,21.14406923,15.2,6.5,18.10228193,19.62317558
200,1.3,13,24.6993737,10.9,0.8,21.14406923,22.92172146
250,1,14.9,29.76399614,18.4,6,26.28632068,28.02515841
283,1.1,16.3,32.87834956,19.4,6,28.59214126,30.73524541
1000,5.2,7.8,5.327997904,4.2,3.5,1.432543738,3.380270821
950,5.4,5.6,0.409259048,8.5,9.8,-2.661117833,-1.125929392
900,5.8,7.7,3.890917815,1.8,5.5,-7.593437433,-1.851259809
850,8.2,3.8,-9.041096149,6.3,12,-11.74588461,-10.39349038
800,10.9,4.2,-13.84438649,0.6,8.5,-16.38813884,-15.11626266
750,11.3,2.7,-17.88712987,4.8,14.7,-20.70591592,-19.2965229
700,12.9,2,-22.91006176,4.5,16.5,-25.37693353,-24.14349764
650,13.9,2,-25.15066341,3.6,17.6,-30,-27.57533171
600,16.5,1.8,-31.66824325,3.3,19.4,-35.0996322,-33.38393772
550,18.6,1.9,-36.61453886,3.3,20.6,-38.15982,-37.38717943
532,20.6,3.2,-38.42053154,2.1,20.8,-41.90189272,-40.16121213
600,17.3,2.6,-31.66824325,2.4,18.3,-34.60093258,-33.13458792
700,14.2,2.9,-23.80163644,3.1,15.6,-26.51477463,-25.15820554
800,10.6,3.8,-14.05523282,4.8,12.7,-16.38813884,-15.22168583
900,7.6,5.4,-4.506456128,6.8,10.3,-7.180755781,-5.843605955
1000,5,7.3,4.71174791,9.1,8.2,1.841967324,3.276857617
0,4.4,7.9,7.180755781,9.8,7.8,4.096043758,5.63839977
100,2.5,10.4,16.38813884,12.6,6.3,13.00287816,14.6955085
200,1.1,13.3,25.8307537,15.9,5.5,21.80374799,23.81725084
