input;output
0;0
15;0.01
30;0.029
45;0.044
60;0.068
75;0.088
90;0.107
105;0.122
120;0.142
135;0.161
150;0.176
165;0.19
180;0.215
195;0.229
210;0.249
225;0.269
240;0.288
255;0.308
270;0.322
285;0.342
300;0.361
315;0.376
330;0.396
345;0.415
360;0.435
375;0.454
390;0.469
405;0.488
420;0.508
435;0.522
450;0.542
465;0.562
480;0.581
495;0.601
510;0.615
525;0.635
540;0.654
555;0.669
570;0.688
585;0.708
600;0.723
615;0.742
630;0.767
645;0.781
660;0.801
675;0.815
690;0.835
705;0.85
720;0.869
735;0.889
750;0.913
765;0.928
780;0.947
795;0.962
810;0.981
825;1.001
840;1.021
855;1.035
870;1.055
885;1.074
900;1.094
915;1.108
930;1.128
945;1.147
960;1.167
975;1.187
990;1.291
1005;1.221
1020;1.24
1035;1.26
1050;1.274
1065;1.294
1080;1.313
1095;1.328
1110;1.353
1125;1.367
1140;1.387
1155;1.406
1170;1.421
1185;1.44
1200;1.455
1215;1.475
1230;1.494
1245;1.514
1260;1.533
1275;1.548
1290;1.567
1305;1.587
1320;1.601
1335;1.621
1350;1.636
1365;1.655
1380;1.675
1395;1.694
1410;1.714
1425;1.729
1440;1.748
1455;1.768
1470;1.782
1485;1.802
1500;1.821
1515;1.841
1530;1.855
1545;1.875
1560;1.899
1575;1.914
1590;1.934
1605;1.948
1620;1.968
1635;1.987
1650;2.007
1665;2.021
1680;2.041
1695;2.061
1710;2.075
1725;2.095
1740;2.109
1755;2.134
1770;2.148
1785;2.168
1800;2.187
1815;2.202
1830;2.222
1845;2.236
1860;2.256
1875;2.275
1890;2.295
1905;2.314
1920;2.334
1935;2.349
1950;2.373
1965;2.388
1980;2.407
1995;2.422
2010;2.441
2025;2.461
2040;2.48
2055;2.5
2070;2.515
2085;2.534
2100;2.554
2115;2.568
2130;2.588
2145;2.607
2160;2.627
2175;2.646
2190;2.661
2205;2.681
2220;2.7
2235;2.715
2250;2.734
2265;2.754
2280;2.769
2295;2.788
2310;2.808
2325;2.827
2340;2.847
2355;2.861
2370;2.881
2385;2.9
2400;2.92
2415;2.935
2430;2.954
2445;2.975
2460;2.993
2475;3.008
2490;3.027
2505;3.047
2520;3.062
2535;3.081
2550;3.101
2565;3.12
2580;3.14
2595;3.154
2610;3.174
2625;3.193
2640;3.208
2655;3.228
2670;3.247
2685;3.267
2700;3.281
2715;3.301
2730;3.315
2745;3.335
2760;3.354
2775;3.374
2790;3.389
2805;3.413
2820;3.428
2835;3.447
2850;3.462
2865;3.481
2880;3.501
2895;3.521
2910;3.535
2925;3.555
2940;3.574
2955;3.594
2970;3.613
2985;3.628
3000;3.647
3015;3.667
3030;3.682
3045;3.701
3060;3.726
3075;3.74
3090;3.76
3105;3.779
3120;3.794
3135;3.813
3150;3.833
3165;3.853
3180;3.867
3195;3.887
3210;3.906
3225;3.926
3240;3.94
3255;3.955
3270;3.975
3285;3.994
3300;4.014
3315;4.033
3330;4.053
3345;4.067
3360;4.082
3375;4.102
3390;4.121
3405;4.141
3420;4.155
3435;4.175
3450;4.194
3465;4.209
3480;4.233
3495;4.248
3510;4.263
3525;4.287
3540;4.307
3555;4.321
3570;4.346
3585;4.36
3600;4.375
3615;4.395
3630;4.414
3645;4.429
3660;4.448
3675;4.468
3690;4.487
3705;4.507
3720;4.521
3735;4.541
3750;4.561
3765;4.58
3780;4.595
3795;4.614
3810;4.629
3825;4.653
3840;4.668
3855;4.688
3870;4.707
3885;4.722
3900;4.741
3915;4.761
3930;4.775
3945;4.795
3960;4.81
3975;4.834
3990;4.849
4005;4.868
4020;4.883
4035;4.902
4050;4.922
4065;4.946
4080;4.961
4095;4.98
