step,rate,time,speed,throttle,brake,steer,x,y,yaw,idx,ev,elat,eyaw,sp_x,sp_y,sp_yaw,sp_v,sp_curvature
1,3.15,1.15,0.0,1.0,0.0,0.17077697813510895,-183.8002166748047,80.20003509521484,-1.57079672626906,7,1.5348263016050274,2.463750021243762,-0.003328692543679068,-181.33648107618458,80.19160178267887,-1.5741254188127392,1.5348263016050274,0.0
2,0.050000000000000266,1.2000000000000002,0.0,1.0,0.0,0.1298820674419403,-183.8002166748047,80.20003509521484,-1.57079672626906,7,1.5348263016050274,2.463750021243762,-0.003328692543679068,-181.33648107618458,80.19160178267887,-1.5741254188127392,1.5348263016050274,0.0
3,0.04999999999999982,1.25,0.0,1.0,0.0,0.1298820674419403,-183.8002166748047,80.20003509521484,-1.57079672626906,7,1.5348263016050274,2.463750021243762,-0.003328692543679068,-181.33648107618458,80.19160178267887,-1.5741254188127392,1.5348263016050274,0.0
4,0.04999999999999982,1.2999999999999998,0.0,1.0,0.0,0.1298820674419403,-183.8002166748047,80.20003509521484,-1.57079672626906,7,1.5348263016050274,2.463750021243762,-0.003328692543679068,-181.33648107618458,80.19160178267887,-1.5741254188127392,1.5348263016050274,0.0
5,0.050000000000000266,1.35,0.0,1.0,0.0,0.1298820674419403,-183.8002166748047,80.20003509521484,-1.57079672626906,7,1.5348263016050274,2.463750021243762,-0.003328692543679068,-181.33648107618458,80.19160178267887,-1.5741254188127392,1.5348263016050274,0.0
6,0.04999999999999982,1.4,0.0,1.0,0.0,0.1298820674419403,-183.8002166748047,80.20003509521484,-1.57079672626906,7,1.5348263016050274,2.463750021243762,-0.003328692543679068,-181.33648107618458,80.19160178267887,-1.5741254188127392,1.5348263016050274,0.0
7,0.050000000000000266,1.4500000000000002,0.0,1.0,0.0,0.1298820674419403,-183.8002166748047,80.20003509521484,-1.57079672626906,7,1.5348263016050274,2.463750021243762,-0.003328692543679068,-181.33648107618458,80.19160178267887,-1.5741254188127392,1.5348263016050274,0.0
8,0.04999999999999982,1.5,0.0,1.0,0.0,0.1298820674419403,-183.8002166748047,80.20003509521484,-1.57079672626906,7,1.5348263016050274,2.463750021243762,-0.003328692543679068,-181.33648107618458,80.19160178267887,-1.5741254188127392,1.5348263016050274,0.0
9,0.04999999999999982,1.5499999999999998,0.0,1.0,0.0,0.1298820674419403,-183.8002166748047,80.20003509521484,-1.57079672626906,7,1.5348263016050274,2.463750021243762,-0.003328692543679068,-181.33648107618458,80.19160178267887,-1.5741254188127392,1.5348263016050274,0.0
10,0.050000000000000266,1.6,0.0,1.0,0.0,0.1298820674419403,-183.8002166748047,80.20003509521484,-1.57079672626906,7,1.5348263016050274,2.463750021243762,-0.003328692543679068,-181.33648107618458,80.19160178267887,-1.5741254188127392,1.5348263016050274,0.0
11,0.04999999999999982,1.65,0.0,1.0,0.0,0.1298820674419403,-183.8002166748047,80.20003509521484,-1.57079672626906,7,1.5348263016050274,2.463750021243762,-0.003328692543679068,-181.33648107618458,80.19160178267887,-1.5741254188127392,1.5348263016050274,0.0
12,0.050000000000000266,1.7000000000000002,0.0,1.0,0.0,0.1298820674419403,-183.8002166748047,80.20003509521484,-1.57079672626906,7,1.5348263016050274,2.463750021243762,-0.003328692543679068,-181.33648107618458,80.19160178267887,-1.5741254188127392,1.5348263016050274,0.0
