,f_t,f_v,f_u
0,1597821925.216926,6.96751418585908e-13,0.0
1,1597821925.237016,5.699554804418724e-13,0.0
2,1597821925.276971,6.356329940685686e-13,0.0
3,1597821925.316897,6.604264979357922e-13,0.0
4,1597821925.336876,6.915332231149458e-13,0.0
5,1597821925.376842,7.49185558100382e-13,0.0
6,1597821925.41684,7.986227876395307e-13,0.0
7,1597821925.436883,8.03049825868841e-13,0.0
8,1597821925.476856,9.138993060787447e-13,0.0
9,1597821925.516951,8.879909936464559e-13,0.0
10,1597821925.536987,9.406599213519375e-13,0.0
11,1597821925.576904,1.0650228943908686e-12,0.0
12,1597821925.616798,1.132394242698006e-12,0.0
13,1597821925.636897,1.1438002898311596e-12,0.0
14,1597821925.676748,1.354294052482815e-12,0.0
15,1597821925.716677,1.5524486416773125e-12,0.0
16,1597821925.736812,1.6663292999740345e-12,0.0
17,1597821925.776664,1.6993187410250988e-12,0.0
18,1597821925.816776,1.6243986064614992e-12,0.0
19,1597821925.836785,1.6343675742475777e-12,0.0
20,1597821925.87686,1.5885261807972284e-12,0.0
21,1597821925.91667,1.5012806258190154e-12,0.0
22,1597821925.936649,1.5062470241695188e-12,0.0
23,1597821925.976692,1.5799802362575667e-12,0.0
24,1597821926.016602,1.7120564815898164e-12,0.0
25,1597821926.036646,1.783988274438905e-12,0.0
26,1597821926.076588,1.9527720084705802e-12,0.0
27,1597821926.116595,2.0297933138319323e-12,0.0
28,1597821926.136653,2.0643352498309693e-12,0.0
29,1597821926.176606,2.253495396583613e-12,0.0
30,1597821926.21656,2.456503020183682e-12,0.0
31,1597821926.23655,2.3437797421839407e-12,0.0
32,1597821926.276468,2.2621771674157473e-12,0.0
33,1597821926.316437,2.1570936342788853e-12,0.0
34,1597821926.336495,2.2410702009770667e-12,0.0
35,1597821926.37646,2.446287058428557e-12,0.0
36,1597821926.416471,2.4692390524103437e-12,0.0
37,1597821926.436358,2.469378586025483e-12,0.0
38,1597821926.476428,2.6847664444572235e-12,0.0
39,1597821926.516433,2.8315234324655457e-12,0.0
40,1597821926.536392,2.829578739597436e-12,0.0
41,1597821926.576438,3.0335346646280124e-12,0.0
42,1597821926.616474,3.37674484289855e-12,0.0
43,1597821926.636367,3.5046815926578234e-12,0.0
44,1597821926.676159,3.835712834022911e-12,0.0
45,1597821926.716312,4.203863972821002e-12,0.0
